Rk,Uni,Name,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional,Age-Opening-Day-2025
18,32.0,Justin Wilson,us US,Pitcher,*,NULL,36,L,L,"6' 2""",205,1987-08-18,2009,wilsoju10,37.632876712328766
19,44.0,Aroldis Chapman,cu CU,Pitcher,*,NULL,36,L,L,"6' 4""",235,1988-02-28,2005,chapmar01,37.1013698630137
20,43.0,Patrick Sandoval,us US,Pitcher,*,NULL,27,L,L,"6' 3""",190,1996-10-18,2015,sandopa02,28.457534246575342
21,83.0,Brennan Bernardino,us US,Pitcher,*,NULL,32,L,L,"6' 4""",180,1992-01-15,2014,bernabr01,33.21917808219178
22,54.0,Lucas Giolito,us US,Pitcher,*,NULL,29,R,R,"6' 6""",245,1994-07-14,2012,giolilu01,30.723287671232878
23,89.0,Tanner Houck,us US,Pitcher,*,NULL,28,R,R,"6' 5""",226,1996-06-29,2015,houckta01,28.76164383561644
24,NULL,Walker Buehler,us US,Pitcher,*,NULL,29,R,R,"6' 2""",185,1994-07-28,2013,buehlwa01,30.684931506849313
25,7.0,Masataka Yoshida,jp JP,Position,*,NULL,30,L,R,"5' 8""",192,1993-07-15,2016,yoshima02,31.720547945205478
26,NULL,Jhostynxon Garcia,ve VE,Position,*,NULL,21,R,R,"6' 0""",163,2002-12-11,2021,redirect.fcgi?player=1&mlb_ID=691373,22.306849315068494
27,10.0,Trevor Story,us US,Position,*,NULL,31,R,R,"6' 2""",209,1992-11-15,2011,storytr01,32.38356164383562
28,5.0,Vaughn Grissom,us US,Position,*,NULL,23,R,R,"6' 2""",210,2001-01-05,2019,grissva01,24.23835616438356
29,20.0,Nick Sogard,us US,Position,*,NULL,26,S,R,"6' 0""",189,1997-09-09,2017,sogarni01,27.564383561643837
30,30.0,Rob Refsnyder,kr KR,Position,*,NULL,33,R,R,"6' 0""",215,1991-03-26,2011,refsnro01,34.02739726027397
31,11.0,Rafael Devers,do DO,Position,*,NULL,27,L,R,"6' 0""",235,1996-10-24,2014,deverra01,28.44109589041096
32,16.0,Jarren Duran,us US,Position,*,NULL,27,L,R,"6' 2""",205,1996-09-05,2016,duranja01,28.575342465753426
33,3.0,Ceddanne Rafaela,cw CW,Position,*,NULL,23,R,R,"5' 9""",165,2000-09-18,2018,rafaece01,24.53698630136986
34,12.0,Connor Wong,us US,Position,*,NULL,28,R,R,"6' 1""",190,1996-05-19,2015,wongco01,28.873972602739727
35,52.0,Wilyer Abreu,ve VE,Position,*,NULL,25,L,L,"5' 10""",215,1999-06-24,2017,abreuwi02,25.775342465753425
36,23.0,Romy Gonzalez,us US,Position,*,NULL,27,R,R,"6' 0""",215,1996-09-06,2016,gonzaro01,28.572602739726026
37,NULL,Carlos Narváez,ve VE,Position,*,NULL,25,R,R,"5' 11""",190,1998-11-26,2016,narvaca01,26.350684931506848
38,36.0,Triston Casas,us US,Position,*,NULL,24,L,R,"6' 5""",244,2000-01-15,2018,casastr01,25.213698630136985
39,17.0,David Hamilton,us US,Position,*,NULL,26,L,R,"5' 10""",188,1997-09-29,2017,hamilda03,27.50958904109589
40,NULL,Blake Sabol,us US,Position,*,NULL,26,L,R,"6' 4""",225,1998-01-07,2017,sabolbl01,27.235616438356164
