Name,Rk,Uni,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Nick Sogard,29,20.0,us US,Position,*,NULL,26,S,R,"6' 0""",189,Sep 9 1997,2017,sogarni01
Rob Refsnyder,30,30.0,kr KR,Position,*,NULL,33,R,R,"6' 0""",215,Mar 26 1991,2011,refsnro01
Rafael Devers,31,11.0,do DO,Position,*,NULL,27,L,R,"6' 0""",235,Oct 24 1996,2014,deverra01
Jarren Duran,32,16.0,us US,Position,*,NULL,27,L,R,"6' 2""",205,Sep 5 1996,2016,duranja01
Ceddanne Rafaela,33,3.0,cw CW,Position,*,NULL,23,R,R,"5' 9""",165,Sep 18 2000,2018,rafaece01
Connor Wong,34,12.0,us US,Position,*,NULL,28,R,R,"6' 1""",190,May 19 1996,2015,wongco01
Wilyer Abreu,35,52.0,ve VE,Position,*,NULL,25,L,L,"5' 10""",215,Jun 24 1999,2017,abreuwi02
Romy Gonzalez,36,23.0,us US,Position,*,NULL,27,R,R,"6' 0""",215,Sep 6 1996,2016,gonzaro01
Carlos Narváez,37,NULL,ve VE,Position,*,NULL,25,R,R,"5' 11""",190,Nov 26 1998,2016,narvaca01
Triston Casas,38,36.0,us US,Position,*,NULL,24,L,R,"6' 5""",244,Jan 15 2000,2018,casastr01
David Hamilton,39,17.0,us US,Position,*,NULL,26,L,R,"5' 10""",188,Sep 29 1997,2017,hamilda03
Blake Sabol,40,NULL,us US,Position,*,NULL,26,L,R,"6' 4""",225,Jan 7 1998,2017,sabolbl01
Scott Effross,1,57.0,us US,Pitcher,*,NULL,30,R,R,"6' 2""",202,Dec 28 1993,2013,effrosc01
Will Warren,2,98.0,us US,Pitcher,*,NULL,25,R,R,"6' 2""",175,Jun 16 1999,2018,warrewi01
Clayton Beeter,3,85.0,us US,Pitcher,*,NULL,25,R,R,"6' 2""",220,Oct 9 1998,2019,beetecl01
Michael Arias,4,83.0,do DO,Pitcher,*,NULL,22,R,R,"6' 0""",155,Nov 15 2001,2021,redirect.fcgi?player=1&mlb_ID=683522
Yoendrys Gómez,5,92.0,ve VE,Pitcher,*,NULL,24,R,R,"6' 3""",212,Oct 15 1999,2017,gomezyo01
Roansy Contreras,6,58.0,do DO,Pitcher,*,NULL,24,R,R,"6' 1""",205,Nov 7 1999,2017,contrro01
Owen White,7,NULL,us US,Pitcher,*,NULL,24,R,R,"6' 3""",199,Aug 9 1999,2021,whiteow01
Jake Cousins,8,61.0,us US,Pitcher,*,NULL,29,R,R,"6' 4""",195,Jul 14 1994,2014,cousija01
JT Brubaker,9,34.0,us US,Pitcher,*,NULL,30,R,R,"6' 3""",180,Nov 17 1993,2013,brubajt01
Luis Gil,10,81.0,do DO,Pitcher,*,NULL,26,R,R,"6' 2""",185,Jun 3 1998,2015,gillu01
Yerry De Los Santos,11,73.0,do DO,Pitcher,*,NULL,26,R,R,"6' 2""",210,Dec 12 1997,2015,delosye01
Clarke Schmidt,12,36.0,us US,Pitcher,*,NULL,28,R,R,"6' 1""",200,Feb 20 1996,2015,schmicl01
Mark Leiter Jr.,13,56.0,us US,Pitcher,*,NULL,33,R,R,"6' 0""",210,Mar 13 1991,2011,leitema02
Jonathan Loáisiga,14,43.0,ni NI,Pitcher,*,NULL,29,R,R,"5' 11""",165,Nov 2 1994,2013,loaisjo01
Ian Hamilton,15,71.0,us US,Pitcher,*,NULL,29,R,R,"6' 1""",200,Jun 16 1995,2014,hamilia01
Fernando Cruz,16,63.0,pr PR,Pitcher,*,NULL,34,S,R,"6' 2""",237,Mar 28 1990,2007,cruzfe01
Gerrit Cole,17,45.0,us US,Pitcher,*,NULL,33,R,R,"6' 4""",220,Sep 8 1990,2011,colege01
Marcus Stroman,18,NULL,us US,Pitcher,*,NULL,33,R,R,"5' 7""",180,May 1 1991,2010,stromma01
Luke Weaver,19,30.0,us US,Pitcher,*,NULL,30,R,R,"6' 2""",183,Aug 21 1993,2012,weavelu01
Carlos Rodón,20,55.0,us US,Pitcher,*,NULL,31,L,L,"6' 2""",255,Dec 10 1992,2012,rodonca01
Devin Williams,21,38.0,us US,Pitcher,*,NULL,29,R,R,"6' 2""",193,Sep 21 1994,2013,willide03
Max Fried,22,54.0,us US,Pitcher,*,NULL,30,L,L,"6' 4""",190,Jan 18 1994,2012,friedma01
J.C. Escarra,23,79.0,us US,Position,*,NULL,29,L,R,"6' 2""",220,Apr 24 1995,2014,redirect.fcgi?player=1&mlb_ID=641555
Ben Rice,24,93.0,us US,Position,*,NULL,25,L,R,"6' 1""",215,Feb 22 1999,2019,ricebe01
Jasson Domínguez,25,24.0,do DO,Position,*,NULL,21,S,R,"5' 9""",190,Feb 7 2003,2021,dominja01
DJ LeMahieu,26,26.0,us US,Position,*,NULL,35,R,R,"6' 4""",220,Jul 13 1988,2009,lemahdj01
Jesus Rodriguez,27,97.0,ve VE,Position,*,NULL,22,R,R,"5' 10""",182,Apr 23 2002,2019,redirect.fcgi?player=1&mlb_ID=683679
Giancarlo Stanton,28,27.0,us US,Position,*,NULL,34,R,R,"6' 6""",245,Nov 8 1989,2007,stantmi03
Anthony Volpe,29,11.0,us US,Position,*,NULL,23,R,R,"5' 9""",180,Apr 28 2001,2019,volpean01
Jorbit Vivas,30,90.0,ve VE,Position,*,NULL,23,L,R,"5' 9""",171,Mar 9 2001,2018,redirect.fcgi?player=1&mlb_ID=678391
Everson Pereira,31,80.0,ve VE,Position,*,NULL,23,R,R,"5' 11""",191,Apr 10 2001,2018,pereiev01
Paul Goldschmidt,32,48.0,us US,Position,*,NULL,36,R,R,"6' 3""",225,Sep 10 1987,2009,goldspa01
Oswald Peraza,33,91.0,ve VE,Position,*,NULL,24,R,R,"5' 11""",200,Jun 15 2000,2017,perazos02
Cody Bellinger,34,35.0,us US,Position,*,NULL,28,L,L,"6' 4""",203,Jul 13 1995,2013,bellico01
Braden Shewmake,35,NULL,us US,Position,*,NULL,26,L,R,"6' 3""",200,Nov 19 1997,2017,shewmbr01
Aaron Judge,36,99.0,us US,Position,*,NULL,32,R,R,"6' 7""",282,Apr 26 1992,2011,judgeaa01
Austin Wells,37,28.0,us US,Position,*,NULL,24,L,R,"6' 2""",220,Jul 12 1999,2019,wellsau01
Jazz Chisholm Jr.,38,13.0,bs BS,Position,*,NULL,26,L,R,"5' 11""",184,Feb 1 1998,2016,chishja01
Oswaldo Cabrera,39,95.0,ve VE,Position,*,NULL,25,S,R,"5' 11""",200,Mar 1 1999,2016,cabreos01
Trent Grisham,40,12.0,us US,Position,*,NULL,27,L,L,"5' 11""",224,Nov 1 1996,2015,grishtr01
Brandon Young,1,NULL,us US,Pitcher,*,NULL,25,R,R,"6' 6""",210,Aug 19 1998,2019,redirect.fcgi?player=1&mlb_ID=687064
Cionel Pérez,2,58.0,cu CU,Pitcher,*,NULL,28,R,L,"6' 0""",175,Apr 21 1996,2013,perezci01
Kade Strowd,3,NULL,us US,Pitcher,*,NULL,26,R,R,"6' 2""",200,Sep 17 1997,2017,redirect.fcgi?player=1&mlb_ID=669704
Trevor Rogers,4,28.0,us US,Pitcher,*,NULL,26,L,L,"6' 5""",217,Nov 13 1997,2018,rogertr01
Tyler Wells,5,68.0,us US,Pitcher,*,NULL,29,R,R,"6' 8""",260,Aug 26 1994,2014,wellsty01
Keegan Akin,6,45.0,us US,Pitcher,*,NULL,29,L,L,"6' 0""",240,Apr 1 1995,2014,akinke01
Yennier Cano,7,78.0,cu CU,Pitcher,*,NULL,30,R,R,"6' 4""",245,Mar 9 1994,2013,canoye01
Grayson Rodriguez,8,30.0,us US,Pitcher,*,NULL,24,L,R,"6' 5""",230,Nov 16 1999,2018,rodrigr01
Dean Kremer,9,64.0,us US,Pitcher,*,NULL,28,R,R,"6' 2""",210,Jan 7 1996,2016,kremede01
Kyle Bradish,10,38.0,us US,Pitcher,*,NULL,27,R,R,"6' 3""",215,Sep 12 1996,2016,bradiky01
Colin Selby,11,60.0,us US,Pitcher,*,NULL,26,R,R,"6' 2""",220,Oct 24 1997,2016,selbyco01
Félix Bautista,12,74.0,do DO,Pitcher,*,NULL,29,R,R,"6' 8""",285,Jun 20 1995,2013,bautife01
Gregory Soto,13,65.0,do DO,Pitcher,*,NULL,29,L,L,"6' 1""",234,Feb 11 1995,2013,sotogr01
Bryan Baker,14,43.0,us US,Pitcher,*,NULL,29,R,R,"6' 6""",235,Dec 2 1994,2014,bakerbr01
Chayce McDermott,15,60.0,us US,Pitcher,*,NULL,25,L,R,"6' 3""",197,Aug 22 1998,2019,mcderch01
Seranthony Domínguez,16,56.0,do DO,Pitcher,*,NULL,29,R,R,"6' 1""",225,Nov 25 1994,2012,dominse01
Zach Eflin,17,24.0,us US,Pitcher,*,NULL,30,R,R,"6' 6""",220,Apr 8 1994,2012,eflinza01
Tomoyuki Sugano,18,NULL,jp JP,Pitcher,*,NULL,34,R,R,"6' 1""",198,Oct 11 1989,2013,redirect.fcgi?player=1&mlb_ID=608372
Cade Povich,19,37.0,us US,Pitcher,*,NULL,24,L,L,"6' 3""",185,Apr 12 2000,2020,povicca01
Charlie Morton,20,NULL,us US,Pitcher,*,NULL,40,R,R,"6' 5""",215,Nov 12 1983,2002,mortoch02
Luis Gonzalez,21,NULL,do DO,Pitcher,*,NULL,32,L,L,"6' 2""",170,Jan 17 1992,2010,redirect.fcgi?player=1&mlb_ID=593574
Andrew Kittredge,22,NULL,us US,Pitcher,*,NULL,34,R,R,"6' 1""",230,Mar 17 1990,2010,kittran01
Albert Suárez,23,49.0,ve VE,Pitcher,*,NULL,34,R,R,"6' 3""",235,Oct 8 1989,2008,suareal01
Coby Mayo,24,16.0,us US,Position,*,NULL,22,R,R,"6' 5""",230,Dec 10 2001,2021,mayoco01
Jackson Holliday,25,7.0,us US,Position,*,NULL,20,L,R,"6' 0""",185,Dec 4 2003,2022,hollija01
Gunnar Henderson,26,2.0,us US,Position,*,NULL,23,L,R,"6' 3""",220,Jun 29 2001,2019,hendegu01
Colton Cowser,27,17.0,us US,Position,*,NULL,24,L,R,"6' 2""",220,Mar 20 2000,2019,cowseco01
Heston Kjerstad,28,13.0,us US,Position,*,NULL,25,L,R,"6' 3""",205,Feb 12 1999,2018,kjershe01
Jordan Westburg,29,11.0,us US,Position,*,NULL,25,R,R,"6' 2""",210,Feb 18 1999,2017,westbjo01
Adley Rutschman,30,35.0,us US,Position,*,NULL,26,S,R,"6' 2""",230,Feb 6 1998,2016,rutscad01
Dylan Carlson,31,NULL,us US,Position,*,NULL,25,S,L,"6' 2""",200,Oct 23 1998,2016,carlsdy01
Daz Cameron,32,NULL,us US,Position,*,NULL,27,R,R,"6' 0""",185,Jan 15 1997,2015,camerda01
Ryan Mountcastle,33,6.0,us US,Position,*,NULL,27,R,R,"6' 4""",220,Feb 18 1997,2015,mountry01
Ramón Laureano,34,NULL,do DO,Position,*,NULL,29,R,R,"5' 11""",203,Jul 15 1994,2014,laurera01
Ryan O'Hearn,35,32.0,us US,Position,*,NULL,30,L,L,"6' 3""",220,Jul 26 1993,2012,ohearry01
Cedric Mullins,36,31.0,us US,Position,*,NULL,29,L,L,"5' 9""",175,Oct 1 1994,2015,mullice01
Tyler O'Neill,37,NULL,ca CA,Position,*,NULL,29,R,R,"5' 11""",200,Jun 22 1995,2013,oneilty01
Jorge Mateo,38,3.0,do DO,Position,*,NULL,29,R,R,"6' 1""",200,Jun 23 1995,2012,mateojo01
Ramón Urías,39,29.0,mx MX,Position,*,NULL,30,R,R,"5' 10""",185,Jun 3 1994,2011,uriasra01
Gary Sánchez,40,NULL,do DO,Position,*,NULL,31,R,R,"6' 2""",258,Dec 2 1992,2010,sanchga02
Edwin Uceta,1,63.0,do DO,Pitcher,*,NULL,26,R,R,"6' 0""",155,Jan 9 1998,2016,ucetaed01
Joe Rock,2,NULL,us US,Pitcher,*,NULL,23,L,L,"6' 6""",200,Jul 29 2000,2019,redirect.fcgi?player=1&mlb_ID=697812
Ian Seymour,3,NULL,us US,Pitcher,*,NULL,25,L,L,"6' 0""",210,Dec 13 1998,2018,redirect.fcgi?player=1&mlb_ID=693855
Yoniel Curet,4,58.0,do DO,Pitcher,*,NULL,21,R,R,"6' 2""",190,Nov 3 2002,2021,redirect.fcgi?player=1&mlb_ID=692414
Kevin Kelly,5,49.0,us US,Pitcher,*,NULL,26,R,R,"6' 2""",200,Nov 28 1997,2017,kellyke02
Ryan Pepiot,6,44.0,us US,Pitcher,*,NULL,26,R,R,"6' 3""",215,Aug 21 1997,2017,pepiory01
Hunter Bigge,7,43.0,us US,Pitcher,*,NULL,26,R,R,"6' 1""",205,Jun 12 1998,2017,biggehu01
Mason Montgomery,8,48.0,us US,Pitcher,*,NULL,24,L,L,"6' 2""",195,Jun 17 2000,2019,montgma01
Nate Lavender,9,NULL,us US,Pitcher,*,NULL,24,L,L,"6' 2""",210,Jan 20 2000,2019,redirect.fcgi?player=1&mlb_ID=681320
Eric Orze,10,NULL,us US,Pitcher,*,NULL,26,R,R,"6' 4""",195,Aug 21 1997,2018,orzeer01
Mike Vasil,11,NULL,us US,Pitcher,*,NULL,24,L,R,"6' 5""",244,Mar 19 2000,2019,redirect.fcgi?player=1&mlb_ID=678024
Taj Bradley,12,45.0,us US,Pitcher,*,NULL,23,R,R,"6' 2""",190,Mar 20 2001,2018,bradlta01
Joe Boyle,13,NULL,us US,Pitcher,*,NULL,24,R,R,"6' 7""",240,Aug 14 1999,2018,boylejo01
Jacob Waguespack,14,40.0,us US,Pitcher,*,NULL,30,R,R,"6' 6""",235,Nov 5 1993,2013,wagueja01
Shane Baz,15,11.0,us US,Pitcher,*,NULL,25,R,R,"6' 2""",190,Jun 17 1999,2017,bazsh01
Zack Littell,16,52.0,us US,Pitcher,*,NULL,28,R,R,"6' 4""",220,Oct 5 1995,2013,litteza01
Cole Sulser,17,71.0,us US,Pitcher,*,NULL,34,R,R,"6' 1""",190,Mar 12 1990,2011,sulseco01
Pete Fairbanks,18,29.0,us US,Pitcher,*,NULL,30,R,R,"6' 6""",225,Dec 16 1993,2013,fairbpe01
Garrett Cleavinger,19,60.0,us US,Pitcher,*,NULL,30,R,L,"6' 1""",220,Apr 23 1994,2013,cleavga01
Manuel Rodríguez,20,39.0,mx MX,Pitcher,*,NULL,27,R,R,"5' 11""",210,Aug 6 1996,2014,rodrima01
Alex Faedo,21,NULL,us US,Pitcher,*,NULL,28,R,R,"6' 5""",225,Nov 12 1995,2015,faedoal01
Drew Rasmussen,22,57.0,us US,Pitcher,*,NULL,28,R,R,"6' 1""",211,Jul 27 1995,2014,rasmudr01
Shane McClanahan,23,18.0,us US,Pitcher,*,NULL,27,L,L,"6' 1""",200,Apr 28 1997,2017,mcclash01
Curtis Mead,24,25.0,au AU,Position,*,NULL,23,R,R,"6' 1""",171,Oct 26 2000,2017,meadcu01
Danny Jansen,25,19.0,us US,Position,*,NULL,29,R,R,"6' 2""",215,Apr 15 1995,2013,janseda01
Junior Caminero,26,13.0,do DO,Position,*,NULL,20,R,R,"6' 1""",220,Jul 5 2003,2021,caminju01
Yandy Díaz,27,2.0,cu CU,Position,*,NULL,32,R,R,"6' 2""",215,Aug 8 1991,2008,diazya01
Logan Driscoll,28,41.0,us US,Position,*,NULL,26,L,R,"5' 11""",195,Nov 3 1997,2017,drisclo01
Richie Palacios,29,1.0,us US,Position,*,NULL,27,L,R,"5' 10""",180,May 16 1997,2016,palacri01
Jake Mangum,30,NULL,us US,Position,*,NULL,28,S,L,"5' 11""",179,Mar 8 1996,2016,redirect.fcgi?player=1&mlb_ID=663968
Ben Rortvedt,31,30.0,us US,Position,*,NULL,26,L,R,"5' 9""",191,Sep 25 1997,2016,rortvbe01
Brandon Lowe,32,8.0,us US,Position,*,NULL,29,L,R,"5' 10""",185,Jul 6 1994,2014,lowebr01
José Caballero,33,77.0,pa PA,Position,*,NULL,27,R,R,"5' 9""",185,Aug 30 1996,2017,cabaljo01
Jonny DeLuca,34,21.0,us US,Position,*,NULL,25,R,R,"6' 0""",200,Jul 10 1998,2017,delucjo01
Ha-Seong Kim,35,7.0,kr KR,Position,*,NULL,28,R,R,"5' 9""",168,Oct 17 1995,2014,kimha01
Jonathan Aranda,36,62.0,mx MX,Position,*,NULL,26,L,R,"6' 0""",210,May 23 1998,2016,arandjo01
Taylor Walls,37,6.0,us US,Position,*,NULL,27,S,R,"5' 10""",185,Jul 10 1996,2015,wallsta01
Kameron Misner,38,26.0,us US,Position,*,NULL,26,L,L,"6' 4""",218,Jan 8 1998,2017,misneka01
Josh Lowe,39,15.0,us US,Position,*,NULL,26,L,R,"6' 4""",205,Feb 2 1998,2016,lowejo01
Christopher Morel,40,24.0,do DO,Position,*,NULL,25,R,R,"5' 11""",145,Jun 24 1999,2017,morelch01
Tommy Nance,1,45.0,us US,Pitcher,*,NULL,33,R,R,"6' 6""",235,Mar 19 1991,2012,nanceto01
Jake Bloss,2,39.0,us US,Pitcher,*,NULL,23,R,R,"6' 3""",223,Jun 23 2001,2020,blossja01
Easton Lucas,3,62.0,us US,Pitcher,*,NULL,27,L,L,"6' 4""",180,Sep 23 1996,2015,lucasea01
Nick Robertson,4,33.0,us US,Pitcher,*,NULL,25,R,R,"6' 6""",235,Jul 16 1998,2018,roberni01
Yariel Rodríguez,5,29.0,cu CU,Pitcher,*,NULL,27,R,R,"6' 0""",165,Mar 10 1997,2015,rodriya01
Angel Bastardo,6,NULL,ve VE,Pitcher,*,NULL,22,R,R,"6' 1""",175,Jun 18 2002,2019,redirect.fcgi?player=1&mlb_ID=682785
Nick Sandlin,7,52.0,us US,Pitcher,*,NULL,27,R,R,"5' 11""",175,Jan 10 1997,2016,sandlni01
Josh Walker,8,21.0,us US,Pitcher,*,NULL,29,L,L,"6' 6""",225,Dec 1 1994,2014,walkejo03
Adam Macko,9,64.0,sk SK,Pitcher,*,NULL,23,L,L,"6' 0""",170,Dec 30 2000,2019,redirect.fcgi?player=1&mlb_ID=671936
Bowden Francis,10,44.0,us US,Pitcher,*,NULL,28,R,R,"6' 5""",220,Apr 22 1996,2017,francbo01
Max Scherzer,11,NULL,us US,Pitcher,*,NULL,39,R,R,"6' 3""",208,Jul 27 1984,2007,scherma01
Alek Manoah,12,6.0,us US,Pitcher,*,NULL,26,R,R,"6' 6""",285,Jan 9 1998,2017,manoaal01
Brendon Little,13,54.0,us US,Pitcher,*,NULL,27,L,L,"6' 2""",195,Aug 11 1996,2016,littlbr02
Erik Swanson,14,50.0,us US,Pitcher,*,NULL,30,R,R,"6' 3""",225,Sep 4 1993,2013,swanser01
Yimi García,15,NULL,do DO,Pitcher,*,NULL,33,R,R,"6' 1""",230,Aug 18 1990,2009,garciyi01
Jeff Hoffman,16,23.0,us US,Pitcher,*,NULL,31,R,R,"6' 5""",235,Jan 8 1993,2012,hoffmje02
Zach Pop,17,56.0,ca CA,Pitcher,*,NULL,27,R,R,"6' 4""",220,Sep 20 1996,2015,popza01
Chad Green,18,57.0,us US,Pitcher,*,NULL,33,L,R,"6' 3""",215,May 24 1991,2011,greench03
Kevin Gausman,19,34.0,us US,Pitcher,*,NULL,33,L,R,"6' 2""",205,Jan 6 1991,2011,gausmke01
Chris Bassitt,20,40.0,us US,Pitcher,*,NULL,35,R,R,"6' 5""",217,Feb 22 1989,2011,bassich01
Ryan Burr,21,43.0,us US,Pitcher,*,NULL,30,R,R,"6' 4""",220,May 28 1994,2013,burrry01
José Berríos,22,17.0,pr PR,Pitcher,*,NULL,30,R,R,"6' 0""",205,May 27 1994,2012,berrijo01
George Springer,23,4.0,us US,Position,*,NULL,34,R,R,"6' 3""",220,Sep 19 1989,2010,springe01
Daulton Varsho,24,5.0,us US,Position,*,NULL,27,L,R,"5' 8""",207,Jul 2 1996,2015,varshda01
Will Wagner,25,7.0,us US,Position,*,NULL,25,L,R,"5' 11""",210,Jul 29 1998,2018,wagnewi01
Joey Loperfido,26,10.0,us US,Position,*,NULL,25,L,R,"6' 3""",220,May 11 1999,2018,loperjo01
Jonatan Clase,27,8.0,do DO,Position,*,NULL,22,S,R,"5' 10""",150,May 23 2002,2019,clasejo01
Orelvis Martinez,28,13.0,do DO,Position,*,NULL,22,R,R,"5' 11""",200,Nov 19 2001,2019,martior01
Addison Barger,29,47.0,us US,Position,*,NULL,24,L,R,"5' 11""",210,Nov 12 1999,2018,bargead01
Leo Jimenez,30,49.0,pa PA,Position,*,NULL,23,R,R,"5' 10""",215,May 17 2001,2018,jimenle01
Tyler Heineman,31,55.0,us US,Position,*,NULL,33,S,R,"5' 10""",190,Jun 19 1991,2011,heinety01
Davis Schneider,32,36.0,us US,Position,*,NULL,25,R,R,"5' 9""",190,Jan 26 1999,2017,schneda03
Ernie Clement,33,22.0,us US,Position,*,NULL,28,R,R,"6' 0""",170,Mar 22 1996,2015,clemeer01
Steward Berroa,34,37.0,do DO,Position,*,NULL,25,S,R,"5' 9""",178,Jun 5 1999,2017,berrost01
Alejandro Kirk,35,30.0,mx MX,Position,*,NULL,25,R,R,"5' 8""",245,Nov 6 1998,2017,kirkal01
Anthony Santander,36,25.0,ve VE,Position,*,NULL,29,S,R,"6' 2""",230,Oct 19 1994,2012,santaan02
Bo Bichette,37,11.0,us US,Position,*,NULL,26,R,R,"6' 0""",190,Mar 5 1998,2016,bichebo01
Andrés Giménez,38,NULL,ve VE,Position,*,NULL,25,L,R,"5' 11""",161,Sep 4 1998,2016,gimenan01
Vladimir Guerrero Jr.,39,27.0,ca CA,Position,*,NULL,25,R,R,"6' 2""",245,Mar 16 1999,2016,guerrvl02
Nathan Lukes,40,38.0,us US,Position,*,NULL,29,L,R,"5' 11""",180,Jul 12 1994,2013,lukesna01
